Country,Estimate,Median download speed (Mbit/s)(Ookla),2016,Rate,% of GDP,2021 data ,2020,Ages 25-34: % equivalent to a degree course lasting at least: :2 years,Yes important,% Christian,Muslim percentage of total population,% Buddhist,pct,2020 mortality rate under-5 (per 1000 live births),Age reduced,Annual Nominal US$,% of GDP.1,%,2018,All,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Pct,median 2018 Combined,Score,Oil production April 2022 (bbl/day),UN 2015-20,Life expectancy at birth All,kg/person (2002),Rates per 100000,Elderly (65+) rate,Women,(% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,kilocalories,Average yearly temperature (1961-1990 Celsius)
Benin,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Bermuda,1.0,,,1.0,,,,,,0.0,0.0,1.0,0.0,,,,1.0,,,,0.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,
Bhutan,0.0,,0.0,0.0,,0.0,1.0,,,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,,,0.0
Bolivia,0.0,,0.0,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,1.0,0.0,1.0,0.0,,1.0,0.0,,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,,,1.0,1.0,,1.0,0.0
Botswana,1.0,,1.0,1.0,,0.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0
Brazil,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
British Virgin Islands,1.0,,,1.0,,,,,,1.0,0.0,,,,,,0.0,,,,0.0,,,0.0,1.0,,,,,,1.0,,,,,,0.0,,,
Brunei,0.0,,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0
Bulgaria,1.0,0.0,1.0,0.0,,1.0,1.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0
Burkina Faso,0.0,,1.0,,,0.0,0.0,,,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Burundi,0.0,,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,,,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,0.0
Cambodia,0.0,,1.0,0.0,,0.0,0.0,,1.0,0.0,0.0,1.0,,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0
Cameroon,0.0,,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0
Canada,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Cape Verde,0.0,,0.0,1.0,,0.0,1.0,,,1.0,0.0,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,,0.0,1.0
Cayman Islands,1.0,,,1.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,
Central African Republic,0.0,,0.0,,,0.0,0.0,,,1.0,1.0,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0
Chad,0.0,,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0
Chile,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
China,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0
Colombia,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Comoros,0.0,,0.0,,,0.0,0.0,,1.0,0.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0
Congo,0.0,,1.0,,,,,,,,0.0,,,1.0,,,,1.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,,,0.0,1.0,0.0,1.0,,0.0,,,,
Cook Islands,0.0,,0.0,1.0,,0.0,,,,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,1.0,,0.0,1.0,,0.0,1.0
Costa Rica,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Croatia,1.0,0.0,1.0,0.0,,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,0.0
Cuba,1.0,,0.0,1.0,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,1.0
Curaçao,1.0,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,1.0,,,,,,,,,
Cyprus,1.0,0.0,1.0,0.0,,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0
Czech Republic,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,,1.0,0.0
Côte d'Ivoire,,,,,,,,,1.0,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,
Democratic Republic of the Congo,0.0,,0.0,,,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0
Denmark,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0
Djibouti,0.0,,0.0,,,0.0,0.0,,1.0,0.0,1.0,,,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,0.0,1.0
Dominica,1.0,0.0,1.0,1.0,,0.0,,,,1.0,0.0,0.0,,1.0,,1.0,1.0,,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,1.0,1.0,,,0.0,,1.0,1.0,,1.0,1.0
Dominican Republic,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,1.0,1.0
East Timor,,,0.0,1.0,,0.0,1.0,,,,0.0,,,1.0,,,,0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,1.0,,,0.0,0.0,0.0,,,0.0,,,,
Ecuador,0.0,,0.0,1.0,,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,0.0
Egypt,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
El Salvador,0.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0
Equatorial Guinea,1.0,,1.0,,,0.0,0.0,,,1.0,1.0,,,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,1.0
Eritrea,0.0,,0.0,1.0,,0.0,0.0,,,0.0,1.0,,,1.0,0.0,,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0
Estonia,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Eswatini,0.0,,1.0,1.0,,0.0,0.0,,,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,,0.0,0.0
Ethiopia,0.0,,0.0,1.0,,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Falkland Islands,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,
Faroe Islands,,,,,,,,,,1.0,0.0,,,,,,0.0,0.0,,,1.0,,,1.0,1.0,,,,,,0.0,,,,,,1.0,,,
Fiji,0.0,,0.0,0.0,,0.0,1.0,,,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,,0.0,0.0,,0.0,1.0,0.0,0.0,1.0
Finland,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
France,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
French Guiana,,,,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,1.0,,,
French Polynesia,1.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,1.0,1.0,,,,,1.0,1.0,,,,,0.0,1.0,,,
Gabon,1.0,,1.0,,,0.0,0.0,,,1.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0
Gambia,0.0,,0.0,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Georgia,0.0,,1.0,0.0,,1.0,0.0,,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Germany,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Ghana,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Gibraltar,,,,1.0,,,,,,,1.0,,0.0,,,,,,,,0.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,
Greece,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Greenland,1.0,0.0,1.0,1.0,,1.0,,,,1.0,0.0,,,1.0,,,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0
Grenada,1.0,0.0,1.0,1.0,,1.0,,,,1.0,0.0,,,1.0,,,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0
Guadeloupe,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,0.0,,,
Guam,,,,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,1.0,0.0,,,,,,1.0,1.0,,,,,1.0,,,
Guatemala,0.0,,0.0,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Guinea,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0
Guinea-Bissau,0.0,,0.0,0.0,,0.0,0.0,,,0.0,1.0,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0
Guyana,1.0,0.0,0.0,1.0,,0.0,1.0,,,0.0,1.0,0.0,,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,1.0
Haiti,0.0,,0.0,1.0,,0.0,0.0,,,1.0,0.0,0.0,,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
Honduras,0.0,,0.0,1.0,,0.0,0.0,,,1.0,0.0,0.0,,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Hong Kong,1.0,1.0,,0.0,,1.0,0.0,,0.0,0.0,1.0,1.0,,,0.0,1.0,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,0.0,,1.0,0.0,,1.0,1.0,1.0,1.0,0.0
Hungary,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Iceland,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
India,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Indonesia,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Iran,0.0,,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Iraq,0.0,,0.0,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0
